id,order,suborder,family,subfamily,genus,species,group,in.code,plant,pl.code,date,foundation,microh,plot,repl,in.length,in.mass,in.guild,fl.fam
1,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,bee,apimel,Hormathophylla spinosa,horspi,20150710,s,w,14,3,11.85,20.19,pollinator,Brassicaceae
2,Lepidoptera,Rhopalocera,Lycaenidae,Polyommatinae,Polyommatus,icarus,butterfly,polica,Lotus corniculatus subsp glacialis,lotcor,20150715,s,o,14,4,11.9,8.48,pollinator,Fabaceae
3,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,bee,apimel,Arenaria tetraquetra subsp amabilis,aretet,20150708,h,w,14,2,12.86,21.68,pollinator,Caryophyllaceae
4,Hymenoptera,Aculeata,Apidae,Apinae,Bombus,terrestris lusitanicus,bumblebee,bomlus,Leucanthemopsis pectinata,leupec,20150707,s,o,13,1,14.46,67.9,pollinator,Asteraceae
5,Hemiptera,Heteroptera,Lygaeidae,Lygaeinae,Spilostethus,pandurus,bee,spipan,Arenaria tetraquetra subsp amabilis,aretet,20150709,h,a,13,2,4.36,2.95,herbivore,Caryophyllaceae
6,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,bee,apimel,Hormathophylla spinosa,horspi,20150708,s,a,2,2,14.1,22.41,pollinator,Brassicaceae
7,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,albomaculata,hoverfly,scaalb,Hormathophylla spinosa,horspi,20150711,s,w,3,3,13.24,12.406,pollinator,Brassicaceae
8,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Megachile,parietina,bee,megpar,Anthyllis vulneraria subsp pseudoarundana,antvul,20150716,h,o,8,5,16.81,65.58,pollinator,Fabaceae
9,Hymenoptera,parasitica,Braconidae,Braconinae,Bracon,spA,,braspa,Hormathophylla spinosa,horspi,20150706,s,a,9,1,4.33,0.59,parasitoid,Brassicaceae
10,Coleoptera,Polyphaga,Chrysomelidae,Galerucinae,Galeruca,sp,,galesp,Hormathophylla spinosa,horspi,20150706,s,a,9,1,7.83,10.7,herbivore,Brassicaceae
11,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,albomaculata,hoverfly,scaalb,Hormathophylla spinosa,horspi,20150716,s,w,2,5,11.04,9.076,pollinator,Brassicaceae
12,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,bee,apimel,Sideritis glacialis,sidgla,20150724,h,o,5,8,13.44,22.11,pollinator,Lamiaceae
13,Lepidoptera,Rhopalocera,Nymphalidae,Nymphalinae,Nymphalis,urticae,butterfly,nymurt,Arenaria tetraquetra subsp amabilis,aretet,20150717,h,a,1,5,13.72,48.73,pollinator,Caryophyllaceae
14,Diptera,Nematocera,Bibionidae,Bibioninae,Dilophus,femoratus,,dilfem,Jasione amethystina,jasame,20150710,h,w,11,3,4.58,1.4,scavenger,Campanulaceae
15,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Megachile,sp,bee,megasp,Anthyllis vulneraria subsp pseudoarundana,antvul,20150708,h,o,7,2,15.19,38.09,pollinator,Fabaceae
16,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,bee,apimel,Sideritis glacialis,sidgla,20150717,h,o,5,5,13.97,22.18,pollinator,Lamiaceae
17,Diptera,Brachycera,Tabanidae,Tabaninae,Haematopota,sp,,haemsp,Arenaria tetraquetra subsp amabilis,aretet,20150724,h,a,7,8,10.48,20.68,predator,Caryophyllaceae
18,Diptera,Brachycera,Sarcophagidae,Paramacronychiinae,Wohlfahrtia,bella,fly,wohbel,Arenaria tetraquetra subsp amabilis,aretet,20150710,h,a,12,3,11.31,48.88,pollinator,Caryophyllaceae
19,Diptera,Brachycera,Muscidae,Muscinae,Neomyia,cornicina,fly,neocor,Hormathophylla spinosa,horspi,20150719,s,a,8,6,8.23,29.39,pollinator,Brassicaceae
20,Diptera,Brachycera,Muscidae,Azeliinae,Thricops,culminum,fly,thrcul,Leucanthemopsis pectinata,leupec,20150708,s,o,13,2,6.46,8.49,pollinator,Asteraceae
21,Coleoptera,Polyphaga,Malachiidae,Malachiinae,spB,spB,,malspb,Leucanthemopsis pectinata,leupec,20150708,s,o,13,2,3.71,1.27,herbivore,Asteraceae
22,Diptera,Brachycera,Syrphidae,Eristalinae,Eristalis,tenax,hoverfly,eriten,Hormathophylla spinosa,horspi,20150714,s,w,2,4,14.04,46.784,pollinator,Brassicaceae
23,Coleoptera,Polyphaga,Chrysomelidae,Galerucinae,Galeruca,sp,,galesp,Hormathophylla spinosa,horspi,20150706,s,w,1,1,8.61,13.6,herbivore,Brassicaceae
24,Coleoptera,Polyphaga,Chrysomelidae,Galerucinae,Galeruca,sp,,galesp,Hormathophylla spinosa,horspi,20150706,s,w,1,1,9.1,15.87,herbivore,Brassicaceae
25,Hymenoptera,parasitica,Braconidae,Cheloninae,Chelonus,spA,,chespa,Arenaria tetraquetra subsp amabilis,aretet,20150716,h,a,8,5,3.1,0.3,parasitoid,Caryophyllaceae
26,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Anthidium,montanum,bee,antmon,Lotus corniculatus subsp glacialis,lotcor,20150727,s,o,14,9,11.15,18.47,pollinator,Fabaceae
27,Coleoptera,Polyphaga,Malachiidae,Malachiinae,spB,spB,,malspb,Arenaria tetraquetra subsp amabilis,aretet,20150714,h,w,13,4,4.87,3.08,predator,Caryophyllaceae
28,Diptera,Nematocera,Sciaridae,sp,sp,sp,,sciasp,Hormathophylla spinosa,horspi,20150708,s,a,3,2,3.13,0.15,scavenger,Brassicaceae
29,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,albomaculata,hoverfly,scaalb,Hormathophylla spinosa,horspi,20150716,s,w,6,5,9.77,8.551,pollinator,Brassicaceae
30,Diptera,Brachycera,Chloropidae,sp,sp,sp,,chlsp,Hormathophylla spinosa,horspi,20150716,s,w,6,5,1.43,0.06,herbivore,Brassicaceae
31,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,bee,apimel,Arenaria tetraquetra subsp amabilis,aretet,20150706,h,w,13,1,12.67,22.33,pollinator,Caryophyllaceae
32,Diptera,Brachycera,Bombyliidae,spB,spB,spB,fly,bomspb,Jasione amethystina,jasame,20150706,h,w,3,1,12.58,35.504,pollinator,Campanulaceae
33,Hymenoptera,Aculeata,Megachilidae,Malachiinae,Hoplitis,mitis granadae,bee,hopmit,Jasione amethystina,jasame,20150714,s,w,11,4,8.16,5.76,pollinator,Campanulaceae
34,Hymenoptera,Aculeata,Crabronidae,sp,sp,sp,,crabsp,Jasione amethystina,jasame,20150710,h,w,3,3,7.95,3.14,predator,Campanulaceae
35,Hemiptera,Heteroptera,Lygaeidae,Lygaeinae,Spilostethus,pandurus,,spipan,Arenaria tetraquetra subsp amabilis,aretet,20150706,h,a,3,1,4.2,2.5,herbivore,Caryophyllaceae
36,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,butterfly,scyibe,Arenaria tetraquetra subsp amabilis,aretet,20150717,h,a,7,5,6.25,2.87,pollinator,Caryophyllaceae
37,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,butterfly,scyibe,Arenaria tetraquetra subsp amabilis,aretet,20150710,h,w,11,3,5.12,1.6,pollinator,Caryophyllaceae
38,Diptera,Brachycera,Tachinidae,Exoristinae,Meigenia,majuscula,,meimaj,Lotus corniculatus subsp glacialis,lotcor,20150706,h,w,13,1,7.37,12.73,parasitoid,Fabaceae
39,Diptera,Brachycera,Sepsidae,Sepsinae,Sepsis,neocynipsea,,sepneo,Arenaria tetraquetra subsp amabilis,aretet,20150715,h,w,1,4,3.16,0.29,scavenger,Caryophyllaceae
40,Hymenoptera,Aculeata,Andrenidae,Andreninae,Andrena,agilissima,bee,andagi,Hormathophylla spinosa,horspi,20150716,s,a,9,5,15.05,34.21,pollinator,Brassicaceae
41,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,bee,apimel,Arenaria tetraquetra subsp amabilis,aretet,20150708,h,a,1,2,12.76,21.52,pollinator,Caryophyllaceae
42,Hymenoptera,parasitica,Ichneumonidae,Cryptinae,Gelis,fossae,,gelfos,Hormathophylla spinosa,horspi,20150706,s,w,2,1,3.95,1.06,parasitoid,Brassicaceae
43,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,bee,apimel,Arenaria tetraquetra subsp amabilis,aretet,20150707,h,a,8,1,12.93,21.57,pollinator,Caryophyllaceae
44,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Hoplitis,mitis granadae,bee,hopmit,Anthyllis vulneraria subsp pseudoarundana,antvul,20150708,h,o,2,2,9.12,7.73,pollinator,Fabaceae
45,Diptera,Brachycera,Bombyliidae,spB,spB,spB,fly,bomspb,Arenaria tetraquetra subsp amabilis,aretet,20150709,h,a,11,2,9.76,17.56,pollinator,Caryophyllaceae
46,Hymenoptera,Aculeata,Vespidae,Eumeninae,Ancistrocerus,biphaleratus,,ancbip,Hormathophylla spinosa,horspi,20150724,s,a,13,8,7.87,6.68,predator,Brassicaceae
47,Hymenoptera,Aculeata,Formicidae,sp,sp,sp,,formsp,Hormathophylla spinosa,horspi,20150724,s,a,13,8,2.89,0.16,herbivore,Brassicaceae
48,Hymenoptera,Aculeata,Apidae,Apinae,Bombus,terrestris lusitanicus,bumblebee,bomlus,Anthyllis vulneraria subsp pseudoarundana,antvul,20150708,h,o,9,2,24.68,215.93,pollinator,Fabaceae
49,Hymenoptera,parasitica,Ichneumonidae,Cryptinae,Gelis,fossae,,gelfos,Jasione amethystina,jasame,20150709,h,w,11,2,4.33,0.65,parasitoid,Campanulaceae
50,Diptera,Brachycera,Rhinophoridae,sp,Phyto,sp,,phytsp,Hormathophylla spinosa,horspi,20150710,s,a,1,3,9.8,23.72,parasitoid,Brassicaceae
51,Diptera,Brachycera,Syrphidae,Eristalinae,Eumerus,tarsalis,hoverfly,eumtar,Jasione amethystina,jasame,20150710,h,o,2,3,8.67,4.899,pollinator,Campanulaceae
52,Hymenoptera,Aculeata,Andrenidae,Panurginae,Panurgus,cephalotes,bee,pancep,Leucanthemopsis pectinata,leupec,20150727,s,o,13,9,11.21,9.46,pollinator,Asteraceae
53,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,butterfly,scyibe,Leucanthemopsis pectinata,leupec,20150727,s,o,13,9,4.79,1.49,pollinator,Asteraceae
54,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Hoplitis,mitis granadae,bee,hopmit,Lotus corniculatus subsp glacialis,lotcor,20150717,s,w,14,5,10.54,9.99,pollinator,Fabaceae
55,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,bee,apimel,Hormathophylla spinosa,horspi,20150706,s,a,2,1,13.04,30.87,pollinator,Brassicaceae
56,Diptera,Brachycera,Tachinidae,Tachininae,Macquartia,tessellum,,mactes,Arenaria tetraquetra subsp amabilis,aretet,20150709,h,w,10,2,6.11,8.2,parasitoid,Caryophyllaceae
57,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,cupromicans,bee,lascup,Arenaria tetraquetra subsp amabilis,aretet,20150709,h,w,10,2,7.59,3.08,pollinator,Caryophyllaceae
58,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,albomaculata,hoverfly,scaalb,Arenaria tetraquetra subsp amabilis,aretet,20150706,h,a,12,1,13.36,20.174,pollinator,Caryophyllaceae
59,Hymenoptera,Aculeata,Formicidae,sp,sp,sp,,formsp,Arenaria tetraquetra subsp amabilis,aretet,20150708,h,w,2,2,10.78,3.56,herbivore,Caryophyllaceae
60,Diptera,Brachycera,Muscidae,Azeliinae,Thricops,culminum,fly,thrcul,Arenaria tetraquetra subsp amabilis,aretet,20150708,h,w,2,2,7.39,12.36,pollinator,Caryophyllaceae
61,Diptera,Brachycera,Rhinophoridae,sp,Phyto,sp,,phytsp,Jasione amethystina,jasame,20150708,h,w,1,2,9.05,19.77,parasitoid,Campanulaceae
62,Hymenoptera,Aculeata,Crabronidae,sp,sp,sp,,crabsp,Anthyllis vulneraria subsp pseudoarundana,antvul,20150710,h,w,9,3,8.76,5.17,predator,Fabaceae
63,Hymenoptera,Aculeata,Apidae,Apinae,Bombus,vestalis,bee,bomves,Arenaria tetraquetra subsp amabilis,aretet,20150715,h,a,8,4,22.86,170.8,pollinator,Caryophyllaceae
64,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Hoplitis,mitis granadae,bee,hopmit,Sideritis glacialis,sidgla,20150708,h,w,9,2,7.02,8.35,pollinator,Lamiaceae
65,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Megachile,sp,bee,megasp,Sideritis glacialis,sidgla,20150708,h,w,9,2,14.56,38.89,pollinator,Lamiaceae
66,Hymenoptera,Aculeata,Apidae,Apinae,Bombus,terrestris lusitanicus,bee,bomlun,Sideritis glacialis,sidgla,20150727,s,o,8,9,22.96,251.7,pollinator,Lamiaceae
67,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Hoplitis,mitis granadae,bee,hopmit,Jasione amethystina,jasame,20150707,h,w,6,1,8.07,10.15,pollinator,Campanulaceae
68,Hymenoptera,Aculeata,Colletidae,Hylaeinae,Hylaeus,ibericus,bee,hylibe,Arenaria tetraquetra subsp amabilis,aretet,20150708,h,a,1,2,5.58,1.83,pollinator,Caryophyllaceae
69,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Anthidium,montanum,bee,antmon,Hormathophylla spinosa,horspi,20150717,s,a,7,5,10.02,20.03,pollinator,Brassicaceae
70,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,cupromicans,bee,lascup,Hormathophylla spinosa,horspi,20150717,s,a,7,5,7.03,2.31,pollinator,Brassicaceae
71,Diptera,Brachycera,Bombyliidae,spA,spA,spA,fly,bomspa,Hormathophylla spinosa,horspi,20150716,s,w,9,5,8.71,35.77,pollinator,Brassicaceae
72,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Megachile,parietina,bee,megpar,Lotus corniculatus subsp glacialis,lotcor,20150717,s,o,14,5,14.08,46.7,pollinator,Fabaceae
73,Hymenoptera,Aculeata,Apidae,Apinae,Bombus,terrestris terrestris,bee,bomter,Arenaria tetraquetra subsp amabilis,aretet,20150707,h,w,8,1,16.38,89.96,pollinator,Caryophyllaceae
74,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,bee,apimel,Arenaria tetraquetra subsp amabilis,aretet,20150707,h,w,8,1,12.61,21.8,pollinator,Caryophyllaceae
75,Coleoptera,Polyphaga,Buprestidae,Agrilinae,Agrilus,spA,,agrspa,Sideritis glacialis,sidgla,20150718,h,w,9,6,4.98,2.79,herbivore,Lamiaceae
76,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,butterfly,scyibe,Arenaria tetraquetra subsp amabilis,aretet,20150718,s,w,3,6,4.95,1.08,pollinator,Caryophyllaceae
77,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,butterfly,scyibe,Arenaria tetraquetra subsp amabilis,aretet,20150718,s,w,3,6,5.38,1.53,pollinator,Caryophyllaceae
78,Hemiptera,Heteroptera,Lygaeidae,Lygaeinae,Spilostethus,pandurus,,spipan,Arenaria tetraquetra subsp amabilis,aretet,20150706,h,a,12,1,4.42,2.95,herbivore,Caryophyllaceae
79,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Megachile,parietina,bee,megpar,Anthyllis vulneraria subsp pseudoarundana,antvul,20150715,h,o,1,4,18.24,78.42,pollinator,Fabaceae
80,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,butterfly,scyibe,Leucanthemopsis pectinata,leupec,20150727,s,o,13,9,5.9,1.01,pollinator,Asteraceae
81,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,butterfly,scyibe,Leucanthemopsis pectinata,leupec,20150727,s,o,13,9,5.86,2.56,pollinator,Asteraceae
82,Hymenoptera,Aculeata,Andrenidae,Andreninae,Andrena,carbonaria,bee,andcar,Hormathophylla spinosa,horspi,20150708,s,a,11,2,14.2,28.6,pollinator,Brassicaceae
83,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,albomaculata,hoverfly,scaalb,Hormathophylla spinosa,horspi,20150707,s,a,14,1,14.3,11.7,pollinator,Brassicaceae
84,Diptera,Brachycera,Muscidae,Phaoniinae,Phaonia,scutellata,fly,phascu,Hormathophylla spinosa,horspi,20150707,s,a,14,1,6.41,5.39,pollinator,Brassicaceae
85,Diptera,Brachycera,Bombyliidae,spA,spA,spA,fly,bomspa,Hormathophylla spinosa,horspi,20150716,s,a,6,5,8.86,39.86,pollinator,Brassicaceae
86,Hymenoptera,Aculeata,Apidae,Apinae,Bombus,terrestris terrestris,bee,bomter,Arenaria tetraquetra subsp amabilis,aretet,20150708,h,a,7,2,26.47,268.28,pollinator,Caryophyllaceae
87,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,cupromicans,bee,lascup,Arenaria tetraquetra subsp amabilis,aretet,20150708,h,a,7,2,8.12,2.93,pollinator,Caryophyllaceae
88,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Hoplitis,ravouxi,bee,hoprav,Lotus corniculatus subsp glacialis,lotcor,20150711,s,w,14,3,8.45,6.23,pollinator,Fabaceae
89,Diptera,Nematocera,Sciaridae,sp,sp,sp,,sciasp,Jasione amethystina,jasame,20150707,h,w,10,1,1.77,0.22,scavenger,Campanulaceae
90,Hymenoptera,parasitica,Braconidae,Braconinae,Bracon,spA,,braspa,Hormathophylla spinosa,horspi,20150707,s,w,8,1,3.26,0.25,parasitoid,Brassicaceae
91,Hymenoptera,Aculeata,Andrenidae,Panurginae,Panurgus,cephalotes,bee,pancep,Leucanthemopsis pectinata,leupec,20150727,s,o,5,9,11.38,9.72,pollinator,Asteraceae
92,Diptera,Brachycera,Syrphidae,Eristalinae,Eristalis,tenax,hoverfly,eriten,Arenaria tetraquetra subsp amabilis,aretet,20150714,h,a,14,4,15.72,135.52,pollinator,Caryophyllaceae
93,Hymenoptera,parasitica,Eurytomidae,Eurytominae,Bruchophagus,sp,,bruchsp,Anthyllis vulneraria subsp pseudoarundana,antvul,20150707,h,o,10,1,2.9,0.38,herbivore,Fabaceae
94,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,butterfly,scyibe,Crepis oporinoides,creopo,20150724,s,o,14,8,6.17,1.8,pollinator,Asteraceae
95,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,cupromicans,bee,lascup,Anthyllis vulneraria subsp pseudoarundana,antvul,20150706,h,o,7,1,7.88,2.62,pollinator,Fabaceae
96,Hymenoptera,Aculeata,Andrenidae,Panurginae,Panurgus,cephalotes,bee,pancep,Leontodon boryi,leobor,20150719,h,w,14,6,12.53,11.2,pollinator,Asteraceae
97,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,bee,apimel,Arenaria tetraquetra subsp amabilis,aretet,20150707,h,a,1,1,12.96,22.77,pollinator,Caryophyllaceae
98,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,bee,apimel,Arenaria tetraquetra subsp amabilis,aretet,20150707,h,a,1,1,13.08,20.92,pollinator,Caryophyllaceae
99,Hymenoptera,parasitica,Braconidae,Cheloninae,Chelonus,spA,,chespa,Lotus corniculatus subsp glacialis,lotcor,20150715,s,o,14,4,3.51,0.38,parasitoid,Fabaceae
100,Hymenoptera,parasitica,Ichneumonidae,Cryptinae,Gelis,fossae,,gelfos,Hormathophylla spinosa,horspi,20150708,s,a,6,2,4.84,0.58,parasitoid,Brassicaceae
101,Diptera,Brachycera,Syrphidae,Eristalinae,Eristalis,tenax,hoverfly,eriten,Arenaria tetraquetra subsp amabilis,aretet,20150714,h,w,9,4,14.84,65.692,pollinator,Caryophyllaceae
102,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,cupromicans,bee,lascup,Chaenorhinum glareosum,chagla,20150706,s,w,3,1,7.82,2.67,pollinator,Scrophulariaceae
103,Diptera,Brachycera,Muscidae,Phaoniinae,Helina,annosa,fly,phaann,Hormathophylla spinosa,horspi,20150708,s,a,13,2,9.26,20.51,pollinator,Brassicaceae
104,Coleoptera,Polyphaga,Melyridae,Dasytinae,Enicopus,sp,other,enicsp,Hormathophylla spinosa,horspi,20150708,s,w,2,2,7.7,3.58,pollinator,Brassicaceae
105,Diptera,Brachycera,Bombyliidae,spB,spB,spB,fly,bomspb,Lotus corniculatus subsp glacialis,lotcor,20150706,h,w,12,1,8.68,15.57,pollinator,Fabaceae
106,Hymenoptera,parasitica,Braconidae,Braconinae,Bracon,spB,,braspb,Hormathophylla spinosa,horspi,20150708,s,a,1,2,2.39,0.15,parasitoid,Brassicaceae
107,Hymenoptera,Aculeata,Bethylidae,sp,sp,sp,,bethsp,Hormathophylla spinosa,horspi,20150708,s,a,1,2,3.07,0.14,parasitoid,Brassicaceae
108,Hymenoptera,parasitica,Ichneumonidae,Cryptinae,Gelis,fossae,,gelfos,Anthyllis vulneraria subsp pseudoarundana,antvul,20150706,h,o,3,1,4.07,1.02,parasitoid,Fabaceae
109,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,cupromicans,bee,lascup,Leucanthemopsis pectinata,leupec,20150716,h,w,6,5,7.99,2.01,pollinator,Asteraceae
110,Hymenoptera,parasitica,Ichneumonidae,Cryptinae,Gelis,fossae,,gelfos,Arenaria tetraquetra subsp amabilis,aretet,20150715,h,w,6,4,3.69,1.49,parasitoid,Caryophyllaceae
111,Hymenoptera,Aculeata,Anthophoridae,Xylocopinae,Xylocopa,valga,bee,xylval,Arenaria tetraquetra subsp amabilis,aretet,20150716,h,w,12,5,23.37,281.88,pollinator,Caryophyllaceae
112,Diptera,Brachycera,Syrphidae,Eristalinae,Eristalis,tenax,hoverfly,eriten,Arenaria tetraquetra subsp amabilis,aretet,20150710,h,a,7,3,15.53,50.228,pollinator,Caryophyllaceae
113,Hymenoptera,parasitica,Ichneumonidae,Cryptinae,Gelis,forticornis,,gelfor,Arenaria tetraquetra subsp amabilis,aretet,20150710,h,a,7,3,4.8,1.05,parasitoid,Caryophyllaceae
114,Coleoptera,Endopterygota,Buprestidae,Agrilinae,Agrilus,spB,,agrspb,Sideritis glacialis,sidgla,20150715,s,o,8,4,6.11,2.75,herbivore,Lamiaceae
