id,order,suborder,family,subfamily,genus,species,group,in.code,plant,pl.code,date,foundation,microh,plot,repl,in.length,in.mass,in.guild,fl.fam
115,Coleoptera,Endopterygota,Buprestidae,Agrilinae,Agrilus,spA,,agrspa,Sideritis glacialis,sidgla,20150715,s,o,8,4,4.89,3.58,herbivore,Lamiaceae
116,Hymenoptera,Aculeata,Pompilidae,spC,spC,spC,,pomspc,Jasione amethystina,jasame,20150706,h,o,12,1,10.06,6.51,predator,Campanulaceae
117,Hemiptera,Heteroptera,Lygaeidae,Lygaeinae,Spilostethus,pandurus,,spipan,Arenaria tetraquetra subsp amabilis,aretet,20150708,h,a,2,2,3.88,1.59,herbivore,Caryophyllaceae
118,Hymenoptera,Aculeata,Halictidae,Halictinae,Halictus,gemmeus,bee,halgem,Jasione amethystina,jasame,20150707,s,o,5,1,10.21,5.28,pollinator,Campanulaceae
119,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Hoplitis,mitis granadae,bee,hopmit,Jasione amethystina,jasame,20150706,h,w,12,1,9.12,9.82,pollinator,Campanulaceae
120,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,butterfly,scyibe,Arenaria tetraquetra subsp amabilis,aretet,20150709,h,a,6,2,5.6,1.69,pollinator,Caryophyllaceae
121,Hymenoptera,Aculeata,Colletidae,Colletinae,Colletes,schmidi,bee,colsch,Hormathophylla spinosa,horspi,20150727,s,a,8,9,8.41,6.34,pollinator,Brassicaceae
122,Hymenoptera,parasitica,Ichneumonidae,Campopleginae,sp,sp,,campsp,Hormathophylla spinosa,horspi,20150719,s,a,1,6,3.73,0.29,parasitoid,Brassicaceae
123,Diptera,Brachycera,Bombyliidae,spB,spB,spB,fly,bomspb,Arenaria tetraquetra subsp amabilis,aretet,20150715,h,a,10,4,8.41,12.57,pollinator,Caryophyllaceae
124,Diptera,Nematocera,Sciaridae,sp,sp,sp,,sciasp,Arenaria tetraquetra subsp amabilis,aretet,20150717,h,w,1,5,2.41,0.15,scavenger,Caryophyllaceae
125,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,butterfly,scyibe,Arenaria tetraquetra subsp amabilis,aretet,20150717,h,w,1,5,5.76,1.58,pollinator,Caryophyllaceae
126,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,bee,apimel,Hormathophylla spinosa,horspi,20150707,s,w,14,1,12.65,21.3,pollinator,Brassicaceae
127,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,bee,apimel,Hormathophylla spinosa,horspi,20150707,s,a,4,1,12.67,21.49,pollinator,Brassicaceae
128,Hymenoptera,parasitica,Braconidae,Braconinae,Bracon,spA,,braspa,Anthyllis vulneraria subsp pseudoarundana,antvul,20150708,s,w,6,2,2.69,0.21,parasitoid,Fabaceae
129,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,butterfly,scyibe,Leucanthemopsis pectinata,leupec,20150724,s,w,5,8,5.61,2.28,pollinator,Asteraceae
130,Diptera,Brachycera,Syrphidae,Eristalinae,Eristalis,tenax,fly,eriten,Arenaria tetraquetra subsp amabilis,aretet,20150708,h,w,7,2,15.58,77.697,pollinator,Caryophyllaceae
131,Hymenoptera,parasitica,Ichneumonidae,Cryptinae,Gelis,fossae,,gelfos,Arenaria tetraquetra subsp amabilis,aretet,20150708,h,w,7,2,4.44,1.45,parasitoid,Caryophyllaceae
132,Hymenoptera,parasitica,Ichneumonidae,Cryptinae,Gelis,fossae,,gelfos,Hormathophylla spinosa,horspi,20150708,s,w,6,2,4.79,1.02,parasitoid,Brassicaceae
133,Hymenoptera,Parasitica,Ichneumonidae,Cryptinae,Gelis,forticornis,,gelfos,Hormathophylla spinosa,horspi,20150708,s,w,6,2,4.41,0.84,parasitoid,Brassicaceae
134,Coleoptera,Polyphaga,Chrysomelidae,Galerucinae,Galeruca,sp,,galesp,Hormathophylla spinosa,horspi,20150708,s,w,6,2,8.15,5.86,herbivore,Brassicaceae
135,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,bee,apimel,Arenaria tetraquetra subsp amabilis,aretet,20150716,h,a,6,5,11.82,23.1,pollinator,Caryophyllaceae
136,Coleoptera,Polyphaga,Malachiidae,Malachiinae,spA,spA,,malspa,Leucanthemopsis pectinata,leupec,20150714,s,w,13,4,3.16,1.12,predator,Asteraceae
137,Hemiptera,Heteroptera,Lygaeidae,Lygaeinae,Spilostethus,pandurus,,spipan,Arenaria tetraquetra subsp amabilis,aretet,20150706,h,w,12,1,4.12,1.52,herbivore,Caryophyllaceae
138,Coleoptera,Polyphaga,Melyridae,Rhadalinae,Aplocnemus,sp,,aplosp,Arenaria tetraquetra subsp amabilis,aretet,20150706,h,w,12,1,5.55,1.51,herbivore,Caryophyllaceae
139,Hymenoptera,Aculeata,Mutilidae,sp,sp,sp,bee,mutisp,Arenaria tetraquetra subsp amabilis,aretet,20150706,h,w,12,1,5.82,1.93,pollinator,Caryophyllaceae
140,Hymenoptera,Parasitica,Eurytomidae,Eurytominae,Bruchophagus,sp,,bruchsp,Anthyllis vulneraria subsp pseudoarundana,antvul,20150717,h,w,1,5,2.79,0.24,herbivore,Fabaceae
141,Coleoptera,Polyphaga,Coccinellidae,Coccinellinae,Hippodamia,sp,,hippsp,Anthyllis vulneraria subsp pseudoarundana,antvul,20150709,h,w,10,2,4.69,1.29,predator,Fabaceae
142,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Anthidium,montanum,bee,antmon,Anthyllis vulneraria subsp pseudoarundana,antvul,20150709,h,w,10,2,12.3,22.3,pollinator,Fabaceae
143,Hymenoptera,Parasitica,Braconidae,Cheloninae,Chelonus,spA,,chespa,Arenaria tetraquetra subsp amabilis,aretet,20150715,h,a,11,4,3.09,0.31,parasitoid,Caryophyllaceae
144,Coleoptera,Polyphaga,Meloidae,Meloinae,Mylabris,sp,,mylasp,Leontodon boryi,leobor,20150727,h,w,14,9,15.65,31.05,parasitoid,Asteraceae
145,Hymenoptera,Parasitica,Ichneumonidae,Cryptinae,Gelis,fossae,,gelfos,Leontodon boryi,leobor,20150710,s,o,10,3,3.97,1,parasitoid,Asteraceae
146,Hymenoptera,Aculeata,Andrenidae,Andreninae,Andrena,agilissima,bee,andagi,Anthyllis vulneraria subsp pseudoarundana,antvul,20150727,h,w,14,9,16.63,30.79,pollinator,Fabaceae
147,Hymenoptera,Aculeata,Halictidae,Rophitinae,Dufourea,paradoxa nivalis,bee,dufpar,Arenaria tetraquetra subsp amabilis,aretet,20150727,h,a,14,9,9.15,5.91,pollinator,Caryophyllaceae
148,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,bee,apimel,Hormathophylla spinosa,horspi,20150707,s,w,4,1,12.47,21.93,pollinator,Brassicaceae
149,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,bee,apimel,Hormathophylla spinosa,horspi,20150707,s,w,4,1,12.11,21.86,pollinator,Brassicaceae
150,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,bee,apimel,Hormathophylla spinosa,horspi,20150716,s,w,3,5,12.68,22.69,pollinator,Brassicaceae
151,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,cupromicans,bee,lascup,Jasione amethystina,jasame,20150707,h,o,5,1,8.25,2.9,pollinator,Campanulaceae
152,Hymenoptera,Parasitica,Ichneumonidae,Cryptinae,Gelis,forticornis,,gelfor,Jasione amethystina,jasame,20150707,h,w,2,1,4.44,0.95,parasitoid,Campanulaceae
153,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,bee,apimel,Hormathophylla spinosa,horspi,20150706,s,a,9,1,12.83,25.72,pollinator,Brassicaceae
154,Hymenoptera,Aculeata,Chrysididae,sp,sp,sp,,chrysp,Anthyllis vulneraria subsp pseudoarundana,antvul,20150709,h,o,3,2,9.81,6.23,parasitoid,Fabaceae
155,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,butterfly,scyibe,Leontodon boryi,leobor,20150707,h,o,5,1,4.65,1.44,pollinator,Asteraceae
156,Hymenoptera,Aculeata,Andrenidae,Andreninae,Andrena,micrandrena sp,bee,andmic,Anthyllis vulneraria subsp pseudoarundana,antvul,20150727,h,w,1,9,8,7.82,pollinator,Fabaceae
157,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,cupromicans,bee,lascup,Hormathophylla spinosa,horspi,20150715,s,a,14,4,8.03,2.31,pollinator,Brassicaceae
158,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,butterfly,scyibe,Hormathophylla spinosa,horspi,20150715,s,a,14,4,6.13,3.25,pollinator,Brassicaceae
159,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,albomaculata,hoverfly,scaalb,Hormathophylla spinosa,horspi,20150706,s,w,9,1,11.89,15.24,pollinator,Brassicaceae
160,Hemiptera,Heteroptera,Lygaeidae,Lygaeinae,Spilostethus,pandurus,,spipan,Hormathophylla spinosa,horspi,20150706,s,w,9,1,12.65,47.02,herbivore,Brassicaceae
161,Coleoptera,Polyphaga,Chrysomelidae,Galerucinae,Galeruca,sp,,galesp,Hormathophylla spinosa,horspi,20150707,s,w,7,1,9.03,14.86,herbivore,Brassicaceae
162,Coleoptera,Polyphaga,Cantharidae,Malthininae,Malthinus,sp,,maltsp,Hormathophylla spinosa,horspi,20150707,s,w,7,1,3.32,0.26,predator,Brassicaceae
163,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,cupromicans,bee,lascup,Arenaria tetraquetra subsp amabilis,aretet,20150714,s,w,2,4,7.28,2.2,pollinator,Caryophyllaceae
164,Diptera,Brachycera,Muscidae,Muscinae,Dasyphora,pratorum,fly,daspra,Hormathophylla spinosa,horspi,20150716,s,a,11,5,11.29,52.8,pollinator,Brassicaceae
165,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,butterfly,scyibe,Arenaria tetraquetra subsp amabilis,aretet,20150727,h,w,1,9,5.93,2.09,pollinator,Caryophyllaceae
166,Diptera,Nematocera,Sciaridae,sp,sp,sp,,sciasp,Biscutella glacialis,bisgla,20150706,s,w,2,1,2.46,0.08,scavenger,Brassicaceae
167,Hymenoptera,Aculeata,Pompilidae,spA,spA,spA,,pomspa,Hormathophylla spinosa,horspi,20150727,s,w,8,9,14.61,22.88,predator,Brassicaceae
168,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,butterfly,scyibe,Arenaria tetraquetra subsp amabilis,aretet,20150724,h,a,14,8,5.33,2.13,pollinator,Caryophyllaceae
169,Diptera,Brachycera,Bombyliidae,spA,spA,spA,fly,bomspa,Leucanthemopsis pectinata,leupec,20150727,s,w,5,9,14.59,54.928,pollinator,Asteraceae
170,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,cupromicans,bee,lascup,Arenaria tetraquetra subsp amabilis,aretet,20150709,h,a,5,2,8.36,2.08,pollinator,Caryophyllaceae
171,Coleoptera,Polyphaga,Chrysomelidae,Chrysomelinae,Timarcha,sp,,timasp,Hormathophylla spinosa,horspi,20150716,s,w,12,5,15.83,133.73,herbivore,Brassicaceae
172,Hymenoptera,Aculeata,Colletidae,Colletinae,Colletes,schmidi,bee,colsch,Lotus corniculatus subsp glacialis,lotcor,20150727,h,w,13,9,10.54,14.18,pollinator,Fabaceae
173,Hemiptera,Auchenorrhyncha,Cicadoidea,sp,sp,sp,,cicasp,Arenaria tetraquetra subsp amabilis,aretet,20150706,h,w,11,1,3.15,1.82,herbivore,Caryophyllaceae
174,Diptera,Brachycera,Muscidae,Muscinae,Musca,vitripennis,fly,musvit,Arenaria tetraquetra subsp amabilis,aretet,20150727,h,a,1,9,6.56,7.52,pollinator,Caryophyllaceae
175,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,butterfly,scyibe,Arenaria tetraquetra subsp amabilis,aretet,20150709,h,w,6,2,4.5,1.3,pollinator,Caryophyllaceae
176,Coleoptera,Polyphaga,Buprestidae,Agrilinae,Agrilus,spA,,agrspa,Anthyllis vulneraria subsp pseudoarundana,antvul,20150715,h,w,10,4,5.73,5.06,herbivore,Fabaceae
177,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,bee,apimel,Arenaria tetraquetra subsp amabilis,aretet,20150707,h,w,2,1,11.52,22.67,pollinator,Caryophyllaceae
178,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,sp,bee,lasisp,Arenaria tetraquetra subsp amabilis,aretet,20150707,h,w,2,1,8.28,2.82,pollinator,Caryophyllaceae
179,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,albomaculata,hoverfly,scaalb,Hormathophylla spinosa,horspi,20150711,s,w,8,3,13.93,12.127,pollinator,Brassicaceae
180,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,bee,apimel,Arenaria tetraquetra subsp amabilis,aretet,20150707,h,a,9,1,13.02,23.89,pollinator,Caryophyllaceae
181,Hemiptera,Heteroptera,Lygaeidae,Lygaeinae,Spilostethus,pandurus,,spipan,Arenaria tetraquetra subsp amabilis,aretet,20150709,h,a,3,2,4.17,2.4,herbivore,Caryophyllaceae
182,Diptera,Brachycera,Tachinidae,Exoristinae,Meigenia,majuscula,,meimaj,Hormathophylla spinosa,horspi,20150711,s,a,7,3,11.07,40.48,parasitoid,Brassicaceae
183,Hymenoptera,Aculeata,Chrysididae,sp,sp,sp,,chrysp,Hormathophylla spinosa,horspi,20150710,s,a,9,3,7.15,5.51,parasitoid,Brassicaceae
184,Diptera,Nematocera,Sciaridae,sp,sp,sp,,sciasp,Arenaria tetraquetra subsp amabilis,aretet,20150719,h,w,14,6,2.15,0.07,scavenger,Caryophyllaceae
185,Diptera,Brachycera,Syrphidae,Eristalinae,Eristalis,tenax,hoverfly,eriten,Hormathophylla spinosa,horspi,20150709,s,a,5,2,15.56,31.418,pollinator,Brassicaceae
186,Hymenoptera,Aculeata,Pompilidae,spB,spB,spB,,pomspb,Arenaria tetraquetra subsp amabilis,aretet,20150710,h,a,3,3,9.09,3.61,predator,Caryophyllaceae
187,Diptera,Nematocera,Sciaridae,sp,sp,sp,,sciasp,Hormathophylla spinosa,horspi,20150715,s,a,12,4,1.78,0.11,scavenger,Brassicaceae
188,Diptera,Brachycera,Sarcophagidae,Sarcophaginae,Sarcophaga,nigriventris,,sarnig,Arenaria tetraquetra subsp amabilis,aretet,20150709,h,a,11,2,4.66,0.8,scavenger,Caryophyllaceae
189,Hymenoptera,Aculeata,Andrenidae,Panurginae,Panurgus,cephalotes,bee,pancep,Crepis oporinoides,creopo,20150717,s,w,14,5,11.1,12.71,pollinator,Asteraceae
190,Hymenoptera,Aculeata,Anthophoridae,Xylocopinae,Xylocopa,valga,bee,xylval,Arenaria tetraquetra subsp amabilis,aretet,20150711,h,w,6,3,25.71,322.94,pollinator,Caryophyllaceae
191,Hymenoptera,Aculeata,Colletidae,Hylaeinae,Hylaeus,ibericus,bee,hylibe,Arenaria tetraquetra subsp amabilis,aretet,20150711,h,w,6,3,5.17,1.67,pollinator,Caryophyllaceae
192,Hemiptera,Heteroptera,Lygaeidae,Lygaeinae,Spilostethus,pandurus,,spipan,Arenaria tetraquetra subsp amabilis,aretet,20150711,h,w,6,3,4.16,1.98,herbivore,Caryophyllaceae
193,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,bee,apimel,Arenaria tetraquetra subsp amabilis,aretet,20150716,h,a,9,5,12.93,24.03,pollinator,Caryophyllaceae
194,Coleoptera,Polyphaga,Coccinellidae,Scymninae,Scymnus,sp,,scymsp,Jasione amethystina,jasame,20150706,h,o,4,1,1.48,0.11,predator,Campanulaceae
195,Araneae,Opisthothelae,Salticidae,sp,sp,sp,,saltsp,Arenaria tetraquetra subsp amabilis,aretet,20150706,h,a,11,1,2.49,0.22,predator,Caryophyllaceae
196,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,bee,apimel,Arenaria tetraquetra subsp amabilis,aretet,20150711,h,w,1,3,14.05,23.11,pollinator,Caryophyllaceae
197,Diptera,Brachycera,Sepsidae,Sepsinae,Sepsis,thoracica,,septho,Arenaria tetraquetra subsp amabilis,aretet,20150715,h,w,7,4,3.36,0.29,scavenger,Caryophyllaceae
198,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Hoplitis,ravouxi,bee,hoprav,Jasione amethystina,jasame,20150707,h,w,5,1,8.89,8.84,pollinator,Campanulaceae
199,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,butterfly,scyibe,Jasione amethystina,jasame,20150707,h,w,5,1,5.14,1.48,pollinator,Campanulaceae
200,Hymenoptera,Aculeata,Vespidae,Eumeninae,Ancistrocerus,scoticus,,ancsco,Hormathophylla spinosa,horspi,20150709,s,w,5,2,9.88,9.64,predator,Brassicaceae
201,Coleoptera,Polyphaga,Chrysomelidae,Chrysomelinae,Timarcha,sp,,timasp,Hormathophylla spinosa,horspi,20150709,s,w,5,2,14.1,109.7,herbivore,Brassicaceae
202,Hymenoptera,Aculeata,Megachilidae,Megachilinae,Hoplitis,mitis granadae,bee,hopmit,Jasione amethystina,jasame,20150706,h,o,11,1,9.82,9.09,pollinator,Campanulaceae
203,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,bee,apimel,Sideritis glacialis,sidgla,20150723,h,o,5,7,12.84,21.25,pollinator,Lamiaceae
204,Hymenoptera,Parasitica,Braconidae,Cheloninae,Ascogaster,grahami,,ascgra,Hormathophylla spinosa,horspi,20150724,s,a,14,8,3.35,0.24,parasitoid,Brassicaceae
205,Diptera,Brachycera,Bombyliidae,spB,spB,spB,fly,bomspb,Arenaria tetraquetra subsp amabilis,aretet,20150710,h,w,12,3,10.34,15.9,pollinator,Caryophyllaceae
206,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,butterfly,scyibe,Arenaria tetraquetra subsp amabilis,aretet,20150724,h,a,5,8,5.84,2.41,pollinator,Caryophyllaceae
207,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,butterfly,scyibe,Arenaria tetraquetra subsp amabilis,aretet,20150724,h,a,5,8,5.23,1.65,pollinator,Caryophyllaceae
208,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,butterfly,scyibe,Arenaria tetraquetra subsp amabilis,aretet,20150724,h,a,5,8,5.24,1.92,pollinator,Caryophyllaceae
209,Hymenoptera,Aculeata,Halictidae,Halictinae,Lasioglossum,cupromicans,bee,lascup,Lotus corniculatus subsp glacialis,lotcor,20150709,s,o,8,2,7.02,1.86,pollinator,Fabaceae
210,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,albomaculata,hoverfly,scaalb,Hormathophylla spinosa,horspi,20150710,s,w,9,3,13.2,22.625,pollinator,Brassicaceae
211,Hymenoptera,Parasitica,Braconidae,Cheloninae,Chelonus,spA,,chespa,Arenaria tetraquetra subsp amabilis,aretet,20150707,h,w,9,1,3.74,0.26,parasitoid,Caryophyllaceae
212,Diptera,Brachycera,Bombyliidae,spA,spA,spA,fly,bomspa,Arenaria tetraquetra subsp amabilis,aretet,20150723,h,w,7,7,7.79,21.99,pollinator,Caryophyllaceae
213,Coleoptera,Polyphaga,Malachiidae,Malachiinae,spA,spA,,malspa,Leontodon boryi,leobor,20150718,h,o,13,6,3.67,0.69,predator,Asteraceae
214,Diptera,Brachycera,Muscidae,Azeliinae,Thricops,culminum,fly,thrcul,Arenaria tetraquetra subsp amabilis,aretet,20150717,h,w,4,5,7.09,7.42,pollinator,Caryophyllaceae
215,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,butterfly,scyibe,Arenaria tetraquetra subsp amabilis,aretet,20150706,h,w,3,1,5.19,1.46,pollinator,Caryophyllaceae
216,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,butterfly,scyibe,Hormathophylla spinosa,horspi,20150706,s,w,12,1,5.12,1.59,pollinator,Brassicaceae
217,Diptera,Brachycera,Therevidae,sp,sp,sp,fly,thersp,Anthyllis vulneraria subsp pseudoarundana,antvul,20150706,h,o,14,1,9.22,10.55,pollinator,Fabaceae
218,Hemiptera,Heteroptera,Lygaeidae,Lygaeinae,Spilostethus,pandurus,,spipan,Anthyllis vulneraria subsp pseudoarundana,antvul,20150706,h,o,14,1,4.42,2.82,herbivore,Fabaceae
219,Diptera,Brachycera,Syrphidae,Eristalinae,Eristalis,tenax,fly,eriten,Hormathophylla spinosa,horspi,20150716,s,a,12,5,14.15,25.576,pollinator,Brassicaceae
220,Diptera,Brachycera,Sepsidae,Sepsinae,Sepsis,sp,,sepssp,Hormathophylla spinosa,horspi,20150716,s,a,12,5,3.44,0.92,scavenger,Brassicaceae
221,Lepidoptera,Glossata,Scythrididae,Scythridinae,Scythris,iberica,butterfly,scyibe,Hormathophylla spinosa,horspi,20150706,s,a,10,1,5.42,1.98,pollinator,Brassicaceae
222,Coleoptera,Polyphaga,Chrysomelidae,Galerucinae,Galeruca,sp,,galesp,Hormathophylla spinosa,horspi,20150706,s,a,10,1,7.48,14.95,herbivore,Brassicaceae
223,Hymenoptera,Parasitica,Ichneumonidae,Cryptinae,Gelis,fossae,,gelfos,Hormathophylla spinosa,horspi,20150708,s,w,3,2,3.92,1.08,parasitoid,Brassicaceae
224,Hemiptera,Heteroptera,Lygaeidae,Lygaeinae,Spilostethus,pandurus,,spipan,Arenaria tetraquetra subsp amabilis,aretet,20150707,h,w,10,1,4.73,3.03,herbivore,Caryophyllaceae
225,Diptera,Brachycera,Syrphidae,Syrphinae,Scaeva,albomaculata,fly,scaalb,Hormathophylla spinosa,horspi,20150707,s,a,13,1,12.09,20.373,pollinator,Brassicaceae
226,Hymenoptera,Aculeata,Apidae,Apinae,Apis,mellifera,bee,apimel,Hormathophylla spinosa,horspi,20150707,s,a,13,1,12.82,20.7,pollinator,Brassicaceae
227,Hymenoptera,Parasitica,Ichneumonidae,Cryptinae,Gelis,fossae,,gelfos,Arenaria tetraquetra subsp amabilis,aretet,20150714,s,w,3,4,4.42,1.41,parasitoid,Caryophyllaceae
228,Diptera,Brachycera,Tachinidae,Tachininae,Macquartia,tessellum,,mactes,Hormathophylla spinosa,horspi,20150719,s,w,7,6,5.71,4.22,parasitoid,Brassicaceae
229,Hymenoptera,Aculeata,Andrenidae,Andreninae,Andrena,ovatula,bee,andova,Anthyllis vulneraria subsp pseudoarundana,antvul,20150709,h,w,12,2,13.83,15.21,pollinator,Fabaceae
