foundation,microh,plot,plant,fruits,seeds
h,a,1,Arenaria tetraquetra subsp amabilis,30,129
h,a,2,Arenaria tetraquetra subsp amabilis,27,49
h,a,3,Arenaria tetraquetra subsp amabilis,72,128
h,a,4,Arenaria tetraquetra subsp amabilis,37,139
h,a,5,Arenaria tetraquetra subsp amabilis,24,86
h,a,6,Arenaria tetraquetra subsp amabilis,33,39
h,a,7,Arenaria tetraquetra subsp amabilis,50,172
h,a,8,Arenaria tetraquetra subsp amabilis,44,146
h,a,9,Arenaria tetraquetra subsp amabilis,47,93
h,a,10,Arenaria tetraquetra subsp amabilis,34,68
h,a,11,Arenaria tetraquetra subsp amabilis,28,81
h,a,12,Arenaria tetraquetra subsp amabilis,36,148
h,a,13,Arenaria tetraquetra subsp amabilis,50,144
h,a,14,Arenaria tetraquetra subsp amabilis,55,213
h,w,1,Arenaria tetraquetra subsp amabilis,31,130
h,w,2,Arenaria tetraquetra subsp amabilis,23,14
h,w,3,Arenaria tetraquetra subsp amabilis,16,32
h,w,4,Arenaria tetraquetra subsp amabilis,50,173
h,w,5,Arenaria tetraquetra subsp amabilis,29,95
h,w,6,Arenaria tetraquetra subsp amabilis,33,55
h,w,7,Arenaria tetraquetra subsp amabilis,20,63
h,w,8,Arenaria tetraquetra subsp amabilis,24,26
h,w,9,Arenaria tetraquetra subsp amabilis,11,34
h,w,10,Arenaria tetraquetra subsp amabilis,21,67
h,w,11,Arenaria tetraquetra subsp amabilis,20,51
h,w,12,Arenaria tetraquetra subsp amabilis,31,128
h,w,13,Arenaria tetraquetra subsp amabilis,12,37
h,w,14,Arenaria tetraquetra subsp amabilis,36,112
s,a,1,Hormathophylla spinosa,43,49
s,a,2,Hormathophylla spinosa,64,46
s,a,3,Hormathophylla spinosa,26,19
s,a,4,Hormathophylla spinosa,36,9
s,a,5,Hormathophylla spinosa,58,39
s,a,6,Hormathophylla spinosa,66,33
s,a,7,Hormathophylla spinosa,53,47
s,a,8,Hormathophylla spinosa,42,12
s,a,9,Hormathophylla spinosa,34,24
s,a,10,Hormathophylla spinosa,28,22
s,a,11,Hormathophylla spinosa,41,8
s,a,12,Hormathophylla spinosa,31,16
s,a,13,Hormathophylla spinosa,49,57
s,a,14,Hormathophylla spinosa,62,82
s,w,1,Hormathophylla spinosa,51,32
s,w,2,Hormathophylla spinosa,8,5
s,w,3,Hormathophylla spinosa,24,21
s,w,4,Hormathophylla spinosa,29,11
s,w,5,Hormathophylla spinosa,47,22
s,w,6,Hormathophylla spinosa,17,19
s,w,7,Hormathophylla spinosa,23,18
s,w,8,Hormathophylla spinosa,21,11
s,w,9,Hormathophylla spinosa,28,10
s,w,10,Hormathophylla spinosa,80,40
s,w,11,Hormathophylla spinosa,55,34
s,w,12,Hormathophylla spinosa,17,18
s,w,13,Hormathophylla spinosa,32,17
s,w,14,Hormathophylla spinosa,55,58